Sequence_ID	Tour_ID	Site_ID	Plant_ID	HpA_plant	Albugo	Necrosis	Used_for	Host_Species	Lat	Long	HpA_site	Altitude	rndCoord.lon	rndCoord.lat	ClimateZ	Land_cov
PA1473.P0274.SS	PA1473.P0274.SS	SSD	P0274	PA1473	NA	NA	NA	SOIL		56.08969	14.04852	NA	NA	14.25	56.25	Cfb	110
PA1475.P0274.SS	PA1475.P0274.SS	SSD	P0274	PA1475	NA	NA	NA	SOIL		56.08969	14.04852	NA	NA	14.25	56.25	Cfb	110
PA1478.P0275.SS	PA1478.P0275.SS	SSD	P0275	PA1478	NA	NA	NA	SOIL		56.31554	16.03761	NA	NA	16.25	56.25	Cfb	190
PA1479.P0275.SS	PA1479.P0275.SS	SSD	P0275	PA1479	NA	NA	NA	SOIL		56.31554	16.03761	NA	NA	16.25	56.25	Cfb	190
PA1485.P0276.SS	PA1485.P0276.SS	SSD	P0276	PA1485	NA	NA	NA	SOIL		56.70039	16.51431	NA	NA	16.75	56.75	Cfb	14
PA1486.P0276.SS	PA1486.P0276.SS	SSD	P0276	PA1486	NA	NA	NA	SOIL		56.70039	16.51431	NA	NA	16.75	56.75	Cfb	14
PA1492.P0277.SS	PA1492.P0277.SS	SSD	P0277	PA1492	NA	NA	NA	SOIL		56.95902	16.4053	NA	NA	16.25	56.75	Cfb	130
PA1493.P0277.SS	PA1493.P0277.SS	SSD	P0277	PA1493	NA	NA	NA	SOIL		56.95902	16.4053	NA	NA	16.25	56.75	Cfb	130
PA1497.P0278.SS	PA1497.P0278.SS	SSD	P0278	PA1497	NA	NA	NA	SOIL		57.40886	15.56853	NA	NA	15.75	57.25	Cfb	14
PA1497.P0278.SS_rep	PA1497.P0278.SS_rep	SSD	P0278	PA1497	NA	NA	NA	SOIL		57.40886	15.56853	NA	NA	15.75	57.25	Cfb	14
PA1499.P0278.SS	PA1499.P0278.SS	SSD	P0278	PA1499	NA	NA	NA	SOIL		57.40886	15.56853	NA	NA	15.75	57.25	Cfb	14
PA1506.P0279.SS	PA1506.P0279.SS	SSD	P0279	PA1506	NA	NA	NA	SOIL		57.65104	14.80439	NA	NA	14.75	57.75	Dfb	14
PA1507.P0279.SS	PA1507.P0279.SS	SSD	P0279	PA1507	NA	NA	NA	SOIL		57.65104	14.80439	NA	NA	14.75	57.75	Dfb	20
PA1507.P0279.SS_rep	PA1507.P0279.SS_rep	SSD	P0279	PA1507	NA	NA	NA	SOIL		57.65104	14.80439	NA	NA	14.75	57.75	Dfb	14
PA1512.P0280.SS	PA1512.P0280.SS	SSD	P0280	PA1512	NA	NA	NA	SOIL		58.1834	15.00652	NA	NA	15.25	58.25	Dfb	14
PA1513.P0280.SS	PA1513.P0280.SS	SSD	P0280	PA1513	NA	NA	NA	SOIL		58.1834	15.00652	NA	NA	15.25	58.25	Dfb	14
PA1518.P0218.SS	PA1518.P0218.SS	SSD	P0281	PA1518	NA	NA	NA	SOIL		58.29046	15.12591	NA	NA	15.25	58.25	Dfb	14
PA1519.P0281.SS	PA1519.P0281.SS	SSD	P0281	PA1519	NA	NA	NA	SOIL		58.29046	15.12591	NA	NA	15.25	58.25	Dfb	190
PA1525.P0282.SS	PA1525.P0282.SS	SSD	P0282	PA1525	NA	NA	NA	SOIL		58.82053	14.9585	NA	NA	14.75	58.75	Dfb	190
PA1526.P0282.SS	PA1526.P0282.SS	SSD	P0282	PA1526	NA	NA	NA	SOIL		58.82053	14.9585	NA	NA	14.75	58.75	Dfb	14
PA1526.P0282.SS_rep	PA1526.P0282.SS_rep	SSD	P0282	PA1526	NA	NA	NA	SOIL		58.82053	14.9585	NA	NA	14.75	58.75	Dfb	14
PA1530.P0283.SS	PA1530.P0283.SS	NA	NA	PA1530	NA	NA	NA	SOIL		NA	NA	NA	NA	NA	NA	NA	190
PA1530.P0283.SS_rep	PA1530.P0283.SS_rep	NA	NA	PA1530	NA	NA	NA	SOIL		NA	NA	NA	NA	NA	NA	NA	190
PA1531.P0283.SS	PA1531.P0283.SS	SSD	P0283	PA1531	NA	NA	NA	SOIL		59.43196	16.80225	NA	NA	16.75	59.25	Dfb	14
PA1531.P0283.SS_rep	PA1531.P0283.SS_rep	SSD	P0283	PA1531	NA	NA	NA	SOIL		59.43196	16.80225	NA	NA	16.75	59.25	Dfb	14
PA1538.P0284.SS	PA1538.P0284.SS	SSD	P0284	PA1538	NA	NA	NA	SOIL		59.43111	16.06748	NA	NA	16.25	59.25	Dfb	50
PA1539.P0284.SS	PA1539.P0284.SS	SSD	P0284	PA1539	NA	NA	NA	SOIL		59.43111	16.06748	NA	NA	16.25	59.25	Dfb	50
PA1548.P0285.SS	PA1548.P0285.SS	SSD	P0285	PA1548	NA	NA	NA	SOIL		59.78614	17.58582	NA	NA	17.75	59.75	Dfb	120
PA1548.P0285.SS_rep	PA1548.P0285.SS_rep	SSD	P0285	PA1548	NA	NA	NA	SOIL		59.78614	17.58582	NA	NA	17.75	59.75	Dfb	120
PA1549.P0285.SS	PA1549.P0285.SS	SSD	P0285	PA1549	NA	NA	NA	SOIL		59.78614	17.58582	NA	NA	17.75	59.75	Dfb	30
PA1549.P0285.SS_rep	PA1549.P0285.SS_rep	SSD	P0285	PA1549	NA	NA	NA	SOIL		59.78614	17.58582	NA	NA	17.75	59.75	Dfb	30
